Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;117, Rue Neuve;117, Nieuwstraat;Pentagone;Vijfhoek;4.356785266893335;50.85313866241333;50.85313866241333, 4.356785266893335;Nee / Non;Payant / Betalend;Privé;Lu-je/Ma-do 09:30-19:00, Ve/Vr 09:30-20:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Rue Neuve;Shopping center Inno (niveau +1);111-123;1
TOILETTE;TOILET;TOILET;60, Rue Haute;60, Hoogstraat;Pentagone;Vijfhoek;4.35154849195205;50.84061188089651;50.84061188089651, 4.35154849195205;Nee / Non;Gratuit / Gratis;Privé;11:00 - 00:00;Gastvrije toiletten / Toilettes accueillantes;Rue Haute;Kombi Bar;60;0
TOILETTE;TOILET;TOILET;10, Rue Harenheyde;10, Harenheidestraat;Haren;Haren;4.418646774043926;50.891687798097315;50.891687798097315, 4.418646774043926;Nee / Non;Gratuit / Gratis;Privé;10:30 - 01:00;Gastvrije toiletten / Toilettes accueillantes;Rue Harenheyde;Café Queen's Stella Artois;10;0
TOILETTE;TOILET;TOILET;209, Rue Antoine Dansaert;209, Antoine Dansaertstraat;Pentagone;Vijfhoek;4.341910399771588;50.85306476561637;50.85306476561637, 4.341910399771588;Nee / Non;Gratuit / Gratis;Privé;09:00 - 23:00;Gastvrije toiletten / Toilettes accueillantes;Rue Antoine Dansaert;Le Walvis;209;-1
TOILETTE;TOILET;TOILET;2, Quai aux Briques;2, Baksteenkaai;Pentagone;Vijfhoek;4.348230158459349;50.8510524202936;50.8510524202936, 4.348230158459349;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Quai aux Briques;Chez François;2;0
TOILETTE;TOILET;TOILET;27, Place du Jeu de Balle;27, Vossenplein;Pentagone;Vijfhoek;4.345299262180441;50.83715775510228;50.83715775510228, 4.345299262180441;Nee / Non;Gratuit / Gratis;Privé;08:00 - 21:00;Gastvrije toiletten / Toilettes accueillantes;Place du Jeu de Balle;Le Paon d'Or;27;0
TOILETTE;TOILET;TOILET;14, Rue Royale;14, Koningsstraat;Pentagone;Vijfhoek;4.362636154768055;50.84345285561757;50.84345285561757, 4.362636154768055;Ja / Oui;Payant / Betalend;Privé;14:00-18:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Place des Palais;Kiosk Radio bar;10;0
TOILETTE;TOILET;TOILET;26A, Rue de l'Evêque;26A, Bisschopsstraat;Pentagone;Vijfhoek;4.3527804552841145;50.850019920553294;50.850019920553294, 4.3527804552841145;Nee / Non;Payant / Betalend;Privé;08:00-19:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Place de la Monnaie;Shopping center The Mint;26A;-1
TOILETTE;TOILET;TOILET;5, Place Anneessens;5, Anneessensplein;Pentagone;Vijfhoek;4.343897126779589;50.84385096172698;50.84385096172698, 4.343897126779589;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Place Anneessens;null;5;0
TOILETTE;TOILET;TOILET;15, Parvis Notre-Dame;15, Onze-Lieve-Vrouwvoorplein;Laeken;Laken;4.35475457871064;50.87853535476941;50.87853535476941, 4.35475457871064;Nee / Non;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;Ma-di/Di-zo 8:30 - 16:00;Openbaar toilet / Toilette publique;Parvis Notre-Dame;Cimétière de Laeken / Begraafplaats Laken;15;0
